"Country Name","Country Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Botswana","BWA",3790567051.86778,3942792837.35655,4146513722.33019,4160086253.14680,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17845,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.53540,9931134940.51346,10126940513.31250,10939053365.47860,10945070441.92830,10267133177.73340,12786654365.87380,15351972229.53410,16067155187.03750,14901750764.98110,16250750259.02120,14420604205.74590,15646323340.54970,17406565823.29860,18616018903.44340
"Central African Republic","CAF",1440711395.67069,1377375030.52921,1411917558.45855,1278781166.72188,851174350.64941,1115389731.79119,1007791186.20106,937741468.02968,967338348.65831,999477510.68663,914500299.09703,931833302.75286,991387870.12463,1139754799.16304,1270080250.65268,1337362392.15225,1460561215.44470,1697565948.65323,1985240986.18508,2059094048.26019,2140503193.16261,2434792412.50855,2510270267.72918,1700627479.55631,1904794555.18138,1709221159.20294,1844714794.83758,2167501639.76783,2379716827.49770
"Canada","CAN",593929550908.46800,610328183643.18800,592387689252.91600,577170761956.43800,578139279437.61000,604031623433.40100,628546387972.13100,652823920265.78100,631813279406.80800,676084000807.70000,742295468318.63200,736379777892.56200,757950678646.53000,892382413817.71500,1023196771714.07000,1169357979864.66000,1315415197461.21000,1464977190205.75000,1549131208997.19000,1371153004986.44000,1613542812589.39000,1789140665202.84000,1823966686523.63000,1842018420853.10000,1801480123070.82000,1552899925233.71000,1526705529135.32000,1646867220617.47000,1712510030034.05000
"Central Europe and the Baltics","CEB",261332975035.18300,242272304695.43900,258230849613.15000,271638804645.41100,308130899656.50700,392061286235.93400,414792036192.50800,408929867480.83200,447704623973.23200,433965347090.38400,427646547096.42200,468052315115.72700,527313603994.94300,632735520593.24100,761578256534.12500,884976498662.57100,1000876386006.99000,1264555556271.88000,1530305253849.27000,1287790847790.09000,1312306614706.01000,1445166364927.32000,1351020408339.39000,1421923544401.21000,1464718685618.07000,1287360865864.85000,1315627473799.51000,1455568032701.07000,1631295964301.68000
"Switzerland","CHE",258066552980.13200,261113787377.96400,271814366804.15300,264353008121.27800,292646657673.46600,342617007103.59400,330091688349.51500,286519135326.94800,295045152020.96800,289912492344.56100,272055499940.78600,278631271391.32500,301416810214.29500,352914820747.01100,394163688620.82800,408689353999.35700,430921192375.17900,479913034321.89300,554363487120.30300,541506500413.56500,583782977866.40500,699579638638.22600,668043614122.87000,688504173431.45400,709182559935.30100,679832291693.25700,670181065629.15600,678965423322.02100,705501304688.69900
"Channel Islands","CHI",,,,,,,,,5945677376.61477,6262740656.85164,6439703434.71024,6232906290.48510,6663669064.74820,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.33690,,,,,,,,,,,
"Chile","CHL",33113887817.97310,37834793730.31330,45964327558.88360,49297773130.11850,57008425295.82560,73447063319.30340,78039572221.60240,84952360922.46790,81577430181.40740,75173794497.03210,77860932151.84710,70979923960.37420,69736811435.10320,75643459839.60080,99210392857.61160,122964812046.07300,154788024805.80800,173605968179.25500,179638496278.57400,172389498444.62100,218537551220.07100,252251992029.44200,267122320056.70200,278384332694.35900,260541637327.86400,243919079437.22000,250339876460.22800,277746457909.86800,298231139609.44800
"China","CHN",360857912565.96600,383373318083.62400,426915712711.14600,444731282436.76200,564324670005.91700,734547898220.50800,863746717503.78900,961603952951.82000,1029043097554.08000,1093997267271.06000,1211346869605.24000,1339395718865.30000,1470550015081.55000,1660287965662.68000,1955347004963.27000,2285965892360.54000,2752131773355.16000,3550342425238.25000,4594306848763.08000,5101702432883.45000,6087164527421.24000,7551500425597.77000,8532230724141.76000,9570405758739.79000,10438529153237.60000,11015542352468.90000,11137945669350.60000,12143491448186.10000,13608151864637.90000
"Cote d'Ivoire","CIV",10795850106.95470,10492628915.49270,11152971316.07400,11045759468.94120,8313557450.25213,11000146839.49700,12139234938.78630,11722142706.12780,12612033728.85720,12376639822.92650,10717022462.68590,11192560719.34640,12346919152.15580,15306602195.12310,16554441554.93580,17084927539.84880,17800887469.31570,20343636058.73300,24224905503.65400,24277494337.40000,24884503950.68120,25381615976.07860,26790577891.29050,31264184740.60820,35316494573.68100,33131113901.48030,35296979104.01860,38053610009.41720,43007045466.34060
"Cameroon","CMR",11151578050.73560,12434370004.95860,11396310990.21970,15498179313.04250,10600157683.84120,9643953174.77349,10513387441.61940,10833497457.51230,10612847429.35000,11198378749.47190,10083937740.06240,10371327756.45480,11579343088.16130,14548845764.53250,17430933517.29980,17944084201.49010,19356046327.89950,22365265025.66000,26409781215.18440,26017925551.84260,26143818509.64210,29337006833.08250,29104437355.03950,32348149947.37270,34942948737.39670,30916218544.44040,32621535418.90310,34922782310.64160,38502059858.43890
